baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000000303.12	2782.22631602881	-5.8255287829972	0.14300363425128	-40.7369282151307	0	0
ENSMUSG00000025608.9	4401.66107588957	-8.3122825870849	0.197510590721322	-42.0852499945845	0	0
ENSMUSG00000045545.8	4088.29979250429	-9.12444146405313	0.238753625278681	-38.2169755680266	0	0
ENSMUSG00000047586.4	2408.96236911915	-7.42299749382003	0.196906442101159	-37.6980936459485	0	0
ENSMUSG00000054889.10	6835.30817812126	-4.6530066800238	0.114963973508622	-40.4736069745782	0	0
ENSMUSG00000097767.8	4106.77407374806	-6.59502516343864	0.151463163041355	-43.5421064172414	0	0
ENSMUSG00000020758.15	6336.69419572802	-4.25982725321726	0.114956098846205	-37.0561222586051	1.43114899384392e-300	4.22945417652131e-297
ENSMUSG00000030693.10	1240.47206579175	-5.46811518412576	0.148332266472265	-36.8639630079959	1.74739824597978e-297	4.51855343932297e-294
ENSMUSG00000053797.10	2357.50857283841	-7.97909203535595	0.217491974909058	-36.6868342553435	1.18431267823584e-294	2.72220848607387e-291
ENSMUSG00000024406.16	2300.56855437857	-4.48196061924642	0.123016790508478	-36.4337307185522	1.24516946441164e-290	2.57588207102837e-287
ENSMUSG00000037820.15	3906.53527277478	-4.02391064536125	0.110663706600183	-36.3616109471125	1.72229327947965e-289	3.23900737023596e-286
ENSMUSG00000047281.3	1063.70823537809	-5.25836522131628	0.149598466716348	-35.1498604012206	1.16813942384001e-270	2.0137750217482e-267
ENSMUSG00000056602.12	1176.49468242755	-5.38984151982148	0.153514230924954	-35.1097190621782	4.79085964059395e-270	7.62373179884362e-267
ENSMUSG00000027375.14	3835.54485991725	-5.76194281851692	0.164591160494085	-35.0076079494195	1.72344755625992e-268	2.54663997116779e-265
ENSMUSG00000037185.9	1422.68171410608	-4.99084020451838	0.1438699350387	-34.6899454926137	1.11700367476109e-263	1.54049700131885e-260
ENSMUSG00000026413.12	1670.21813735503	-5.50793971931197	0.162352229490419	-33.925864378949	2.7689564334237e-252	3.58008760863976e-249
ENSMUSG00000031995.9	1272.07779943817	-6.00950984001468	0.18016657879413	-33.3552975265271	6.10386017054045e-244	7.4276797263512e-241
ENSMUSG00000019102.10	4252.13080423328	-3.75659095330088	0.11738366915417	-32.0026710731544	1.00099867024938e-224	1.15042552730272e-221
ENSMUSG00000034282.3	1267.19137061125	-6.84030018921484	0.216712731432242	-31.5639055629436	1.15566537537832e-218	1.25827629581323e-215
ENSMUSG00000074796.10	890.962147770756	-4.27569070348243	0.135822481155555	-31.4799926131931	1.63206749989786e-217	1.68812901851935e-214
ENSMUSG00000028435.8	1000.60191451766	-6.25344055628696	0.200049056024171	-31.2595354388046	1.6566465180278e-214	1.63195459611624e-211
ENSMUSG00000042793.13	993.596483876577	-4.19102810473215	0.135039586265681	-31.0355520231421	1.78737787679884e-211	1.68070391533353e-208
ENSMUSG00000049382.10	5899.38440276072	-10.8668284299192	0.354158344716583	-30.6835306637076	9.44051467058339e-207	8.49112726045038e-204
ENSMUSG00000063450.14	2006.16488735426	-3.45582230133828	0.113616626198601	-30.4165192803518	3.32209669286545e-203	2.86350892855448e-200
ENSMUSG00000022871.13	1099.8210296869	-6.65650953498917	0.22166741908142	-30.0292643933576	4.07315866120648e-198	3.37045732897514e-195
ENSMUSG00000020788.15	2105.01080621481	-8.81864071568489	0.298918899683994	-29.5017836778056	2.73121051656409e-191	2.17309815216005e-188
ENSMUSG00000025432.11	1237.63464000221	-6.45493153717443	0.218899936214038	-29.4880466792958	4.0975171047378e-191	3.13945690169299e-188
ENSMUSG00000061126.5	1586.36311788539	-8.12860528315053	0.276571438335028	-29.3906172382986	7.23807782681748e-190	5.34764700012047e-187
ENSMUSG00000003153.10	1022.21678895265	-4.75302721389254	0.169211562030007	-28.0892579494637	1.32521274637816e-173	9.45333658080174e-171
ENSMUSG00000060716.7	840.095139931726	-6.73486894567464	0.239867686809019	-28.0774331685488	1.84794168623596e-173	1.27427898877211e-170
ENSMUSG00000040703.11	1371.20061576237	-7.27379610227417	0.261007021067298	-27.8682009109582	6.4829702114429e-171	4.32623241174578e-168
ENSMUSG00000048699.4	2458.70198351876	-9.60292817340227	0.347624783179312	-27.6244060782309	5.66662021175323e-168	3.66329288501684e-165
ENSMUSG00000038295.14	631.285065322775	-5.23887163447828	0.191092787288379	-27.4153290075375	1.80072306696442e-165	1.12883509352403e-162
ENSMUSG00000012350.15	1200.71716412298	-7.68151007948935	0.282770556195075	-27.1651694676092	1.6761364963845e-162	1.01983046178548e-159
ENSMUSG00000024421.16	651.442758902235	-5.8022530494989	0.215270272695743	-26.9533409180915	5.21245605051382e-160	3.08085938048512e-157
ENSMUSG00000048373.8	879.028716907514	-7.22967620901305	0.279660933278749	-25.8515772090589	2.33574953168311e-147	1.34221251560912e-144
ENSMUSG00000024331.11	731.917226833879	-5.56462669793894	0.220059202375923	-25.286952955655	4.44538053233886e-141	2.48544829925659e-138
ENSMUSG00000031297.14	803.324639833221	-3.90830426484442	0.154644391034451	-25.2728484926022	6.35334279926723e-141	3.45872638127477e-138
ENSMUSG00000043439.5	659.526663859316	-5.17602309471276	0.205088475707199	-25.2380007061073	1.53398231144269e-140	8.13679284020894e-138
ENSMUSG00000018166.8	696.980616144935	-6.8109333613049	0.270551666167026	-25.1742429008002	7.67122055514064e-140	3.96736349060486e-137
ENSMUSG00000074227.12	750.578515745838	-3.91036471555168	0.156137718500766	-25.0443310757899	2.0126583909476e-138	1.01550888130568e-135
ENSMUSG00000115388.2	609.418326642107	-6.50249638879902	0.260720307249211	-24.9405060058616	2.70702978215931e-137	1.33334107389356e-134
ENSMUSG00000020911.14	1699.52101122176	-3.62481539518243	0.145379080431343	-24.9335419128221	3.22132943908208e-137	1.54975911875095e-134
ENSMUSG00000018849.6	1056.25064161841	-3.63311941045019	0.146179868000897	-24.8537603716258	2.35480410537729e-136	1.10713255745318e-133
ENSMUSG00000074272.10	525.088709521609	-4.94689455466395	0.19968484157892	-24.7735106758658	1.73045231594316e-135	7.95508156887028e-133
ENSMUSG00000022123.9	552.670932932523	-4.73712613702681	0.194188067004739	-24.3945274809868	1.95489813574231e-131	8.60446334768108e-129
ENSMUSG00000022218.16	1164.84011584487	-8.52448627114251	0.349431421175725	-24.3953055007484	1.91808362205588e-131	8.60446334768108e-129
ENSMUSG00000030494.13	525.776954463157	-5.76750198678182	0.236654624829839	-24.3709667238864	3.4756347840005e-131	1.49792618284622e-128
ENSMUSG00000026479.13	663.22244591254	-3.25900805434063	0.135230854135143	-24.0995893665194	2.52461225526308e-128	1.0658500760128e-125
ENSMUSG00000035557.9	5638.94839930443	-11.8801852064644	0.493676011146817	-24.0647407170273	5.8518657531538e-128	2.42115093670985e-125
ENSMUSG00000019866.15	1632.58282696157	-2.94416161321524	0.122677238745632	-23.9992491135203	2.83143927725868e-127	1.1485094966402e-124
ENSMUSG00000038807.19	1117.18649454612	-2.96429905143791	0.124616085629282	-23.7874511662671	4.50420346393496e-125	1.79189340496966e-122
ENSMUSG00000026639.18	426.218051032084	-4.30170139486267	0.181537756440678	-23.6959048035187	3.97383893505228e-124	1.55107181225333e-121
ENSMUSG00000029019.8	418.751966922948	-5.45657270368506	0.23088891620542	-23.6328914932858	1.76998831975161e-123	6.7806941427225e-121
ENSMUSG00000056413.16	486.367115126352	-5.93782161117625	0.25439021879315	-23.3413911877029	1.68555210328114e-120	6.33982115646855e-118
ENSMUSG00000015468.14	463.305037212559	-5.99864913383643	0.258639369606922	-23.1931014329069	5.34495081104686e-119	1.97448209693083e-116
ENSMUSG00000005968.14	900.30355604381	-2.82740752249199	0.122163204374232	-23.1445101409633	1.65112848638927e-118	5.99243771893594e-116
ENSMUSG00000063011.7	8462.68360261364	-1.94803563544831	0.0841889607908385	-23.1388488128279	1.88271589418579e-118	6.71512822465885e-116
ENSMUSG00000046410.10	439.962291920596	-4.26479263780425	0.185016585764314	-23.0508666030461	1.4417567496205e-117	5.05519014905073e-115
ENSMUSG00000041607.17	437.950546867432	-5.01676985729449	0.219178790922946	-22.8889384605565	5.98809916550808e-116	2.06459679061443e-113
ENSMUSG00000024479.3	745.902810451162	-7.47907065929502	0.33049755580461	-22.6297306226272	2.2094912600171e-113	7.49307306491374e-111
ENSMUSG00000018920.11	363.46704244677	-3.70241772033667	0.163949377186533	-22.5826885339384	6.41268767929516e-113	2.13966564550934e-110
ENSMUSG00000021118.7	399.461875613412	-5.28709006901154	0.235187377000572	-22.4803309447967	6.46555949140346e-112	2.12306395553434e-109
ENSMUSG00000030513.14	1227.63813208705	-2.47355495324092	0.110092783757253	-22.4679117815292	8.55186821873407e-112	2.76425777876487e-109
ENSMUSG00000042377.8	350.22973300309	-4.34396652098019	0.193529495782641	-22.4460178714001	1.39962807384827e-111	4.45447784056912e-109
ENSMUSG00000020435.17	376.581732500642	-4.64757169909718	0.207617261505671	-22.3852856231332	5.47536071588837e-111	1.71619374438762e-108
ENSMUSG00000084128.10	455.503537953501	-4.29450757682742	0.192031493220894	-22.3635587308976	8.91158428415725e-111	2.75155140427405e-108
ENSMUSG00000002799.6	445.821716188367	-4.57608750538935	0.207289393488748	-22.0758401014751	5.39523022944108e-108	1.64134011406541e-105
ENSMUSG00000026380.10	349.703760453515	-4.88235199887881	0.221704762850149	-22.0218633831462	1.77800673078392e-107	5.3306703245981e-105
ENSMUSG00000044017.16	438.263836649065	-6.25975542816577	0.286323987185323	-21.8624904245768	5.91286782741683e-106	1.74742138208246e-103
ENSMUSG00000068876.16	633.892989227572	-7.56671721844295	0.346690197896222	-21.8255874101983	1.32622840955022e-105	3.86418128286838e-103
ENSMUSG00000025813.14	498.501923155013	-3.09680741094477	0.142022105684173	-21.8051084091896	2.07514390271757e-105	5.96229193271087e-103
ENSMUSG00000024011.17	380.260871919874	-5.16743543396008	0.237081302669344	-21.7960479201815	2.52936498643502e-105	7.16780458553169e-103
ENSMUSG00000037411.10	7312.6067784615	2.112696692018	0.0969565467876729	21.7901396245541	2.87771995173532e-105	8.04478278939845e-103
ENSMUSG00000038732.15	746.6040777827	-2.988142424643	0.138105075179659	-21.6367314579552	8.10488558677023e-104	2.23554357511354e-101
ENSMUSG00000026110.15	400.937200684607	-3.48235268969541	0.161194764814941	-21.6033857780264	1.6692147731029e-103	4.54355868568154e-101
ENSMUSG00000056724.15	627.342340010141	-3.20054563491327	0.148592046225488	-21.5391450364473	6.69307101398202e-103	1.79817610475644e-100
ENSMUSG00000044041.4	962.33315515624	-8.68925028187655	0.404121807074514	-21.5015624738963	1.505336820523e-102	3.9924234366871e-100
ENSMUSG00000063727.3	1654.60770370465	2.42158279097462	0.112927125282501	21.4437654807623	5.22133017284131e-102	1.36726148462745e-99
ENSMUSG00000033987.16	751.910133581667	-4.69047523288453	0.219340840540293	-21.3844135060789	1.86618319225832e-101	4.82571646228097e-99
ENSMUSG00000003526.12	343.81176287463	-4.92315045420897	0.230671631525774	-21.3426784284	4.56057913647252e-101	1.16474939007663e-98
ENSMUSG00000033644.5	531.946362248031	-7.2411666182244	0.341589800627246	-21.1984274850355	9.87408796989167e-100	2.49103972967255e-97
ENSMUSG00000022665.15	15843.651590561	1.66576464541924	0.0786818189448797	21.1708965013403	1.77155427674861e-99	4.41543895459018e-97
ENSMUSG00000003279.17	465.761974381565	-6.63010224191324	0.313342725256602	-21.1592665394856	2.26721778927136e-99	5.58356361984008e-97
ENSMUSG00000044646.15	626.11455140404	-3.28206106184848	0.156079554719652	-21.0281293263789	3.62671173197607e-98	8.82656301169282e-96
ENSMUSG00000022055.7	421.84201297395	-5.57588168621603	0.265468647963995	-21.0039178975752	6.03937920364988e-98	1.45275159983611e-95
ENSMUSG00000023043.7	431.345766814826	-6.15232259774938	0.293870184697052	-20.9355113860624	2.54321403180532e-97	6.04729525010996e-95
ENSMUSG00000041439.15	887.368570989517	-2.84971455629845	0.136150138274475	-20.9306769160492	2.81470925012474e-97	6.61680571106028e-95
ENSMUSG00000000308.14	361.174706277104	-6.06343178818892	0.292392039877539	-20.7373353622364	1.59521063576496e-95	3.70787892382807e-93
ENSMUSG00000016028.11	379.498782282153	-6.33171651509735	0.305613445021248	-20.7180561531157	2.38105866684284e-95	5.47299562677531e-93
ENSMUSG00000057963.9	694.720489292436	-3.18856254294629	0.154414674959397	-20.6493491877292	9.89437184406965e-95	2.24928428943153e-92
ENSMUSG00000017861.11	452.354450551534	-3.31914261661851	0.161076895240256	-20.6059510376569	2.4270510616292e-94	5.45743535999167e-92
ENSMUSG00000029832.16	323.813998291853	-4.9032211958584	0.238211613028172	-20.5834683436635	3.86046679191935e-94	8.58725554026189e-92
ENSMUSG00000021678.9	343.249912800094	-4.20986104751913	0.204705831881321	-20.5654182337112	5.60148802269488e-94	1.23274449707967e-91
ENSMUSG00000024812.11	1849.15329670854	-2.05017214663016	0.0998626182124183	-20.5299258454172	1.16352288755663e-93	2.53237970096958e-91
ENSMUSG00000028179.12	527.644874319191	-3.04541415656339	0.148343740396997	-20.5294416091522	1.17517499537429e-93	2.53237970096958e-91
ENSMUSG00000030353.15	644.884112636381	-2.66392339233881	0.129784293157575	-20.5257764828634	1.26722701047933e-93	2.7025902232769e-91
ENSMUSG00000025582.4	424.894564956199	-3.10595293182841	0.151457462658353	-20.507097354685	1.86072534757e-93	3.92783931277352e-91
ENSMUSG00000030093.7	368.91491706155	-6.5165824407026	0.319221876767158	-20.4139594275233	1.25679281036877e-92	2.62618917859583e-90
ENSMUSG00000041362.17	459.456982774031	-3.38085306442572	0.165667693602323	-20.4074372674088	1.43620319339593e-92	2.97107354617816e-90
